m,h1_light,h2_light,h1_dark,h2_dark
6,135.300,174.043,136.069,173.530
5,137.392,172.399,138.110,171.796
4,139.452,170.714,140.072,170.010
3,141.500,168.445,142.334,167.670
2,144.005,165.983,144.897,164.835
1,147.265,162.582,148.575,161.036
